,date,holiday,weekday,weekend
0,20090101,1,4,0
1,20090102,1,5,0
2,20090103,1,6,1
3,20090104,0,7,0
4,20090105,0,1,0
5,20090106,0,2,0
6,20090107,0,3,0
7,20090108,0,4,0
8,20090109,0,5,0
9,20090110,0,6,1
10,20090111,0,7,1
11,20090112,0,1,0
12,20090113,0,2,0
13,20090114,0,3,0
14,20090115,0,4,0
15,20090116,0,5,0
16,20090117,0,6,1
17,20090118,0,7,1
18,20090119,0,1,0
19,20090120,0,2,0
20,20090121,0,3,0
21,20090122,0,4,0
22,20090123,0,5,0
23,20090124,0,6,0
24,20090125,1,7,1
25,20090126,1,1,0
26,20090127,1,2,0
27,20090128,1,3,0
28,20090129,1,4,0
29,20090130,1,5,0
30,20090131,1,6,1
31,20090201,0,7,0
32,20090202,0,1,0
33,20090203,0,2,0
34,20090204,0,3,0
35,20090205,0,4,0
36,20090206,0,5,0
37,20090207,0,6,1
38,20090208,0,7,1
39,20090209,0,1,0
40,20090210,0,2,0
41,20090211,0,3,0
42,20090212,0,4,0
43,20090213,0,5,0
44,20090214,0,6,1
45,20090215,0,7,1
46,20090216,0,1,0
47,20090217,0,2,0
48,20090218,0,3,0
49,20090219,0,4,0
50,20090220,0,5,0
51,20090221,0,6,1
52,20090222,0,7,1
53,20090223,0,1,0
54,20090224,0,2,0
55,20090225,0,3,0
56,20090226,0,4,0
57,20090227,0,5,0
58,20090228,0,6,1
59,20090301,0,7,1
60,20090302,0,1,0
61,20090303,0,2,0
62,20090304,0,3,0
63,20090305,0,4,0
64,20090306,0,5,0
65,20090307,0,6,1
66,20090308,0,7,1
67,20090309,0,1,0
68,20090310,0,2,0
69,20090311,0,3,0
70,20090312,0,4,0
71,20090313,0,5,0
72,20090314,0,6,1
73,20090315,0,7,1
74,20090316,0,1,0
75,20090317,0,2,0
76,20090318,0,3,0
77,20090319,0,4,0
78,20090320,0,5,0
79,20090321,0,6,1
80,20090322,0,7,1
81,20090323,0,1,0
82,20090324,0,2,0
83,20090325,0,3,0
84,20090326,0,4,0
85,20090327,0,5,0
86,20090328,0,6,1
87,20090329,0,7,1
88,20090330,0,1,0
89,20090331,0,2,0
90,20090401,0,3,0
91,20090402,0,4,0
92,20090403,0,5,0
93,20090404,1,6,1
94,20090405,1,7,1
95,20090406,1,1,0
96,20090407,0,2,0
97,20090408,0,3,0
98,20090409,0,4,0
99,20090410,0,5,0
100,20090411,0,6,1
101,20090412,0,7,1
102,20090413,0,1,0
103,20090414,0,2,0
104,20090415,0,3,0
105,20090416,0,4,0
106,20090417,0,5,0
107,20090418,0,6,1
108,20090419,0,7,1
109,20090420,0,1,0
110,20090421,0,2,0
111,20090422,0,3,0
112,20090423,0,4,0
113,20090424,0,5,0
114,20090425,0,6,1
115,20090426,0,7,1
116,20090427,0,1,0
117,20090428,0,2,0
118,20090429,0,3,0
119,20090430,0,4,0
120,20090501,1,5,0
121,20090502,1,6,1
122,20090503,1,7,1
123,20090504,0,1,0
124,20090505,0,2,0
125,20090506,0,3,0
126,20090507,0,4,0
127,20090508,0,5,0
128,20090509,0,6,1
129,20090510,0,7,1
130,20090511,0,1,0
131,20090512,0,2,0
132,20090513,0,3,0
133,20090514,0,4,0
134,20090515,0,5,0
135,20090516,0,6,1
136,20090517,0,7,1
137,20090518,0,1,0
138,20090519,0,2,0
139,20090520,0,3,0
140,20090521,0,4,0
141,20090522,0,5,0
142,20090523,0,6,1
143,20090524,0,7,1
144,20090525,0,1,0
145,20090526,0,2,0
146,20090527,0,3,0
147,20090528,1,4,0
148,20090529,1,5,0
149,20090530,1,6,1
150,20090531,0,7,0
151,20090601,0,1,0
152,20090602,0,2,0
153,20090603,0,3,0
154,20090604,0,4,0
155,20090605,0,5,0
156,20090606,0,6,1
157,20090607,0,7,1
158,20090608,0,1,0
159,20090609,0,2,0
160,20090610,0,3,0
161,20090611,0,4,0
162,20090612,0,5,0
163,20090613,0,6,1
164,20090614,0,7,1
165,20090615,0,1,0
166,20090616,0,2,0
167,20090617,0,3,0
168,20090618,0,4,0
169,20090619,0,5,0
170,20090620,0,6,1
171,20090621,0,7,1
172,20090622,0,1,0
173,20090623,0,2,0
174,20090624,0,3,0
175,20090625,0,4,0
176,20090626,0,5,0
177,20090627,0,6,1
178,20090628,0,7,1
179,20090629,0,1,0
180,20090630,0,2,0
181,20090701,0,3,0
182,20090702,0,4,0
183,20090703,0,5,0
184,20090704,0,6,1
185,20090705,0,7,1
186,20090706,0,1,0
187,20090707,0,2,0
188,20090708,0,3,0
189,20090709,0,4,0
190,20090710,0,5,0
191,20090711,0,6,1
192,20090712,0,7,1
193,20090713,0,1,0
194,20090714,0,2,0
195,20090715,0,3,0
196,20090716,0,4,0
197,20090717,0,5,0
198,20090718,0,6,1
199,20090719,0,7,1
200,20090720,0,1,0
201,20090721,0,2,0
202,20090722,0,3,0
203,20090723,0,4,0
204,20090724,0,5,0
205,20090725,0,6,1
206,20090726,0,7,1
207,20090727,0,1,0
208,20090728,0,2,0
209,20090729,0,3,0
210,20090730,0,4,0
211,20090731,0,5,0
212,20090801,0,6,1
213,20090802,0,7,1
214,20090803,0,1,0
215,20090804,0,2,0
216,20090805,0,3,0
217,20090806,0,4,0
218,20090807,0,5,0
219,20090808,0,6,1
220,20090809,0,7,1
221,20090810,0,1,0
222,20090811,0,2,0
223,20090812,0,3,0
224,20090813,0,4,0
225,20090814,0,5,0
226,20090815,0,6,1
227,20090816,0,7,1
228,20090817,0,1,0
229,20090818,0,2,0
230,20090819,0,3,0
231,20090820,0,4,0
232,20090821,0,5,0
233,20090822,0,6,1
234,20090823,0,7,1
235,20090824,0,1,0
236,20090825,0,2,0
237,20090826,0,3,0
238,20090827,0,4,0
239,20090828,0,5,0
240,20090829,0,6,1
241,20090830,0,7,1
242,20090831,0,1,0
243,20090901,0,2,0
244,20090902,0,3,0
245,20090903,0,4,0
246,20090904,0,5,0
247,20090905,0,6,1
248,20090906,0,7,1
249,20090907,0,1,0
250,20090908,0,2,0
251,20090909,0,3,0
252,20090910,0,4,0
253,20090911,0,5,0
254,20090912,0,6,1
255,20090913,0,7,1
256,20090914,0,1,0
257,20090915,0,2,0
258,20090916,0,3,0
259,20090917,0,4,0
260,20090918,0,5,0
261,20090919,0,6,1
262,20090920,0,7,1
263,20090921,0,1,0
264,20090922,0,2,0
265,20090923,0,3,0
266,20090924,0,4,0
267,20090925,0,5,0
268,20090926,0,6,1
269,20090927,0,7,0
270,20090928,0,1,0
271,20090929,0,2,0
272,20090930,0,3,0
273,20091001,1,4,0
274,20091002,1,5,0
275,20091003,1,6,1
276,20091004,1,7,1
277,20091005,1,1,0
278,20091006,1,2,0
279,20091007,1,3,0
280,20091008,1,4,0
281,20091009,0,5,0
282,20091010,0,6,0
283,20091011,0,7,1
284,20091012,0,1,0
285,20091013,0,2,0
286,20091014,0,3,0
287,20091015,0,4,0
288,20091016,0,5,0
289,20091017,0,6,1
290,20091018,0,7,1
291,20091019,0,1,0
292,20091020,0,2,0
293,20091021,0,3,0
294,20091022,0,4,0
295,20091023,0,5,0
296,20091024,0,6,1
297,20091025,0,7,1
298,20091026,0,1,0
299,20091027,0,2,0
300,20091028,0,3,0
301,20091029,0,4,0
302,20091030,0,5,0
303,20091031,0,6,1
304,20091101,0,7,1
305,20091102,0,1,0
306,20091103,0,2,0
307,20091104,0,3,0
308,20091105,0,4,0
309,20091106,0,5,0
310,20091107,0,6,1
311,20091108,0,7,1
312,20091109,0,1,0
313,20091110,0,2,0
314,20091111,0,3,0
315,20091112,0,4,0
316,20091113,0,5,0
317,20091114,0,6,1
318,20091115,0,7,1
319,20091116,0,1,0
320,20091117,0,2,0
321,20091118,0,3,0
322,20091119,0,4,0
323,20091120,0,5,0
324,20091121,0,6,1
325,20091122,0,7,1
326,20091123,0,1,0
327,20091124,0,2,0
328,20091125,0,3,0
329,20091126,0,4,0
330,20091127,0,5,0
331,20091128,0,6,1
332,20091129,0,7,1
333,20091130,0,1,0
334,20091201,0,2,0
335,20091202,0,3,0
336,20091203,0,4,0
337,20091204,0,5,0
338,20091205,0,6,1
339,20091206,0,7,1
340,20091207,0,1,0
341,20091208,0,2,0
342,20091209,0,3,0
343,20091210,0,4,0
344,20091211,0,5,0
345,20091212,0,6,1
346,20091213,0,7,1
347,20091214,0,1,0
348,20091215,0,2,0
349,20091216,0,3,0
350,20091217,0,4,0
351,20091218,0,5,0
352,20091219,0,6,1
353,20091220,0,7,1
354,20091221,0,1,0
355,20091222,0,2,0
356,20091223,0,3,0
357,20091224,0,4,0
358,20091225,0,5,0
359,20091226,0,6,1
360,20091227,0,7,1
361,20091228,0,1,0
362,20091229,0,2,0
363,20091230,0,3,0
364,20091231,0,4,0
365,20100101,1,5,0
366,20100102,1,6,1
367,20100103,1,7,1
368,20100104,0,1,0
369,20100105,0,2,0
370,20100106,0,3,0
371,20100107,0,4,0
372,20100108,0,5,0
373,20100109,0,6,1
374,20100110,0,7,1
375,20100111,0,1,0
376,20100112,0,2,0
377,20100113,0,3,0
378,20100114,0,4,0
379,20100115,0,5,0
380,20100116,0,6,1
381,20100117,0,7,1
382,20100118,0,1,0
383,20100119,0,2,0
384,20100120,0,3,0
385,20100121,0,4,0
386,20100122,0,5,0
387,20100123,0,6,1
388,20100124,0,7,1
389,20100125,0,1,0
390,20100126,0,2,0
391,20100127,0,3,0
392,20100128,0,4,0
393,20100129,0,5,0
394,20100130,0,6,1
395,20100131,0,7,1
396,20100201,0,1,0
397,20100202,0,2,0
398,20100203,0,3,0
399,20100204,0,4,0
400,20100205,0,5,0
401,20100206,0,6,1
402,20100207,0,7,1
403,20100208,0,1,0
404,20100209,0,2,0
405,20100210,0,3,0
406,20100211,0,4,0
407,20100212,0,5,0
408,20100213,1,6,1
409,20100214,1,7,1
410,20100215,1,1,0
411,20100216,1,2,0
412,20100217,1,3,0
413,20100218,1,4,0
414,20100219,1,5,0
415,20100220,0,6,0
416,20100221,0,7,0
417,20100222,0,1,0
418,20100223,0,2,0
419,20100224,0,3,0
420,20100225,0,4,0
421,20100226,0,5,0
422,20100227,0,6,1
423,20100228,0,7,1
424,20100301,0,1,0
425,20100302,0,2,0
426,20100303,0,3,0
427,20100304,0,4,0
428,20100305,0,5,0
429,20100306,0,6,1
430,20100307,0,7,1
431,20100308,0,1,0
432,20100309,0,2,0
433,20100310,0,3,0
434,20100311,0,4,0
435,20100312,0,5,0
436,20100313,0,6,1
437,20100314,0,7,1
438,20100315,0,1,0
439,20100316,0,2,0
440,20100317,0,3,0
441,20100318,0,4,0
442,20100319,0,5,0
443,20100320,0,6,1
444,20100321,0,7,1
445,20100322,0,1,0
446,20100323,0,2,0
447,20100324,0,3,0
448,20100325,0,4,0
449,20100326,0,5,0
450,20100327,0,6,1
451,20100328,0,7,1
452,20100329,0,1,0
453,20100330,0,2,0
454,20100331,0,3,0
455,20100401,0,4,0
456,20100402,0,5,0
457,20100403,1,6,1
458,20100404,1,7,1
459,20100405,1,1,0
460,20100406,0,2,0
461,20100407,0,3,0
462,20100408,0,4,0
463,20100409,0,5,0
464,20100410,0,6,1
465,20100411,0,7,1
466,20100412,0,1,0
467,20100413,0,2,0
468,20100414,0,3,0
469,20100415,0,4,0
470,20100416,0,5,0
471,20100417,0,6,1
472,20100418,0,7,1
473,20100419,0,1,0
474,20100420,0,2,0
475,20100421,0,3,0
476,20100422,0,4,0
477,20100423,0,5,0
478,20100424,0,6,1
479,20100425,0,7,1
480,20100426,0,1,0
481,20100427,0,2,0
482,20100428,0,3,0
483,20100429,0,4,0
484,20100430,0,5,0
485,20100501,1,6,1
486,20100502,1,7,1
487,20100503,1,1,0
488,20100504,0,2,0
489,20100505,0,3,0
490,20100506,0,4,0
491,20100507,0,5,0
492,20100508,0,6,1
493,20100509,0,7,1
494,20100510,0,1,0
495,20100511,0,2,0
496,20100512,0,3,0
497,20100513,0,4,0
498,20100514,0,5,0
499,20100515,0,6,1
500,20100516,0,7,1
501,20100517,0,1,0
502,20100518,0,2,0
503,20100519,0,3,0
504,20100520,0,4,0
505,20100521,0,5,0
506,20100522,0,6,1
507,20100523,0,7,1
508,20100524,0,1,0
509,20100525,0,2,0
510,20100526,0,3,0
511,20100527,0,4,0
512,20100528,0,5,0
513,20100529,0,6,1
514,20100530,0,7,1
515,20100531,0,1,0
516,20100601,0,2,0
517,20100602,0,3,0
518,20100603,0,4,0
519,20100604,0,5,0
520,20100605,0,6,1
521,20100606,0,7,1
522,20100607,0,1,0
523,20100608,0,2,0
524,20100609,0,3,0
525,20100610,0,4,0
526,20100611,0,5,0
527,20100612,0,6,0
528,20100613,0,7,0
529,20100614,1,1,0
530,20100615,1,2,0
531,20100616,1,3,0
532,20100617,0,4,0
533,20100618,0,5,0
534,20100619,0,6,1
535,20100620,0,7,1
536,20100621,0,1,0
537,20100622,0,2,0
538,20100623,0,3,0
539,20100624,0,4,0
540,20100625,0,5,0
541,20100626,0,6,1
542,20100627,0,7,1
543,20100628,0,1,0
544,20100629,0,2,0
545,20100630,0,3,0
546,20100701,0,4,0
547,20100702,0,5,0
548,20100703,0,6,1
549,20100704,0,7,1
550,20100705,0,1,0
551,20100706,0,2,0
552,20100707,0,3,0
553,20100708,0,4,0
554,20100709,0,5,0
555,20100710,0,6,1
556,20100711,0,7,1
557,20100712,0,1,0
558,20100713,0,2,0
559,20100714,0,3,0
560,20100715,0,4,0
561,20100716,0,5,0
562,20100717,0,6,1
563,20100718,0,7,1
564,20100719,0,1,0
565,20100720,0,2,0
566,20100721,0,3,0
567,20100722,0,4,0
568,20100723,0,5,0
569,20100724,0,6,1
570,20100725,0,7,1
571,20100726,0,1,0
572,20100727,0,2,0
573,20100728,0,3,0
574,20100729,0,4,0
575,20100730,0,5,0
576,20100731,0,6,1
577,20100801,0,7,1
578,20100802,0,1,0
579,20100803,0,2,0
580,20100804,0,3,0
581,20100805,0,4,0
582,20100806,0,5,0
583,20100807,0,6,1
584,20100808,0,7,1
585,20100809,0,1,0
586,20100810,0,2,0
587,20100811,0,3,0
588,20100812,0,4,0
589,20100813,0,5,0
590,20100814,0,6,1
591,20100815,0,7,1
592,20100816,0,1,0
593,20100817,0,2,0
594,20100818,0,3,0
595,20100819,0,4,0
596,20100820,0,5,0
597,20100821,0,6,1
598,20100822,0,7,1
599,20100823,0,1,0
600,20100824,0,2,0
601,20100825,0,3,0
602,20100826,0,4,0
603,20100827,0,5,0
604,20100828,0,6,1
605,20100829,0,7,1
606,20100830,0,1,0
607,20100831,0,2,0
608,20100901,0,3,0
609,20100902,0,4,0
610,20100903,0,5,0
611,20100904,0,6,1
612,20100905,0,7,1
613,20100906,0,1,0
614,20100907,0,2,0
615,20100908,0,3,0
616,20100909,0,4,0
617,20100910,0,5,0
618,20100911,0,6,1
619,20100912,0,7,1
620,20100913,0,1,0
621,20100914,0,2,0
622,20100915,0,3,0
623,20100916,0,4,0
624,20100917,0,5,0
625,20100918,0,6,1
626,20100919,0,7,0
627,20100920,0,1,0
628,20100921,0,2,0
629,20100922,1,3,0
630,20100923,1,4,0
631,20100924,1,5,0
632,20100925,0,6,0
633,20100926,0,7,0
634,20100927,0,1,0
635,20100928,0,2,0
636,20100929,0,3,0
637,20100930,0,4,0
638,20101001,1,5,0
639,20101002,1,6,1
640,20101003,1,7,1
641,20101004,1,1,0
642,20101005,1,2,0
643,20101006,1,3,0
644,20101007,1,4,0
645,20101008,0,5,0
646,20101009,0,6,0
647,20101010,0,7,1
648,20101011,0,1,0
649,20101012,0,2,0
650,20101013,0,3,0
651,20101014,0,4,0
652,20101015,0,5,0
653,20101016,0,6,1
654,20101017,0,7,1
655,20101018,0,1,0
656,20101019,0,2,0
657,20101020,0,3,0
658,20101021,0,4,0
659,20101022,0,5,0
660,20101023,0,6,1
661,20101024,0,7,1
662,20101025,0,1,0
663,20101026,0,2,0
664,20101027,0,3,0
665,20101028,0,4,0
666,20101029,0,5,0
667,20101030,0,6,1
668,20101031,0,7,1
669,20101101,0,1,0
670,20101102,0,2,0
671,20101103,0,3,0
672,20101104,0,4,0
673,20101105,0,5,0
674,20101106,0,6,1
675,20101107,0,7,1
676,20101108,0,1,0
677,20101109,0,2,0
678,20101110,0,3,0
679,20101111,0,4,0
680,20101112,0,5,0
681,20101113,0,6,1
682,20101114,0,7,1
683,20101115,0,1,0
684,20101116,0,2,0
685,20101117,0,3,0
686,20101118,0,4,0
687,20101119,0,5,0
688,20101120,0,6,1
689,20101121,0,7,1
690,20101122,0,1,0
691,20101123,0,2,0
692,20101124,0,3,0
693,20101125,0,4,0
694,20101126,0,5,0
695,20101127,0,6,1
696,20101128,0,7,1
697,20101129,0,1,0
698,20101130,0,2,0
699,20101201,0,3,0
700,20101202,0,4,0
701,20101203,0,5,0
702,20101204,0,6,1
703,20101205,0,7,1
704,20101206,0,1,0
705,20101207,0,2,0
706,20101208,0,3,0
707,20101209,0,4,0
708,20101210,0,5,0
709,20101211,0,6,1
710,20101212,0,7,1
711,20101213,0,1,0
712,20101214,0,2,0
713,20101215,0,3,0
714,20101216,0,4,0
715,20101217,0,5,0
716,20101218,0,6,1
717,20101219,0,7,1
718,20101220,0,1,0
719,20101221,0,2,0
720,20101222,0,3,0
721,20101223,0,4,0
722,20101224,0,5,0
723,20101225,0,6,1
724,20101226,0,7,1
725,20101227,0,1,0
726,20101228,0,2,0
727,20101229,0,3,0
728,20101230,0,4,0
729,20101231,0,5,0
730,20110101,1,6,1
731,20110102,1,7,1
732,20110103,1,1,0
733,20110104,0,2,0
734,20110105,0,3,0
735,20110106,0,4,0
736,20110107,0,5,0
737,20110108,0,6,1
738,20110109,0,7,1
739,20110110,0,1,0
740,20110111,0,2,0
741,20110112,0,3,0
742,20110113,0,4,0
743,20110114,0,5,0
744,20110115,0,6,1
745,20110116,0,7,1
746,20110117,0,1,0
747,20110118,0,2,0
748,20110119,0,3,0
749,20110120,0,4,0
750,20110121,0,5,0
751,20110122,0,6,1
752,20110123,0,7,1
753,20110124,0,1,0
754,20110125,0,2,0
755,20110126,0,3,0
756,20110127,0,4,0
757,20110128,0,5,0
758,20110129,0,6,1
759,20110130,0,7,0
760,20110131,0,1,0
761,20110201,0,2,0
762,20110202,1,3,0
763,20110203,1,4,0
764,20110204,1,5,0
765,20110205,1,6,1
766,20110206,1,7,1
767,20110207,1,1,0
768,20110208,1,2,0
769,20110209,0,3,0
770,20110210,0,4,0
771,20110211,0,5,0
772,20110212,0,6,0
773,20110213,0,7,1
774,20110214,0,1,0
775,20110215,0,2,0
776,20110216,0,3,0
777,20110217,0,4,0
778,20110218,0,5,0
779,20110219,0,6,1
780,20110220,0,7,1
781,20110221,0,1,0
782,20110222,0,2,0
783,20110223,0,3,0
784,20110224,0,4,0
785,20110225,0,5,0
786,20110226,0,6,1
787,20110227,0,7,1
788,20110228,0,1,0
789,20110301,0,2,0
790,20110302,0,3,0
791,20110303,0,4,0
792,20110304,0,5,0
793,20110305,0,6,1
794,20110306,0,7,1
795,20110307,0,1,0
796,20110308,0,2,0
797,20110309,0,3,0
798,20110310,0,4,0
799,20110311,0,5,0
800,20110312,0,6,1
801,20110313,0,7,1
802,20110314,0,1,0
803,20110315,0,2,0
804,20110316,0,3,0
805,20110317,0,4,0
806,20110318,0,5,0
807,20110319,0,6,1
808,20110320,0,7,1
809,20110321,0,1,0
810,20110322,0,2,0
811,20110323,0,3,0
812,20110324,0,4,0
813,20110325,0,5,0
814,20110326,0,6,1
815,20110327,0,7,1
816,20110328,0,1,0
817,20110329,0,2,0
818,20110330,0,3,0
819,20110331,0,4,0
820,20110401,0,5,0
821,20110402,0,6,0
822,20110403,1,7,1
823,20110404,1,1,0
824,20110405,1,2,0
825,20110406,0,3,0
826,20110407,0,4,0
827,20110408,0,5,0
828,20110409,0,6,1
829,20110410,0,7,1
830,20110411,0,1,0
831,20110412,0,2,0
832,20110413,0,3,0
833,20110414,0,4,0
834,20110415,0,5,0
835,20110416,0,6,1
836,20110417,0,7,1
837,20110418,0,1,0
838,20110419,0,2,0
839,20110420,0,3,0
840,20110421,0,4,0
841,20110422,0,5,0
842,20110423,0,6,1
843,20110424,0,7,1
844,20110425,0,1,0
845,20110426,0,2,0
846,20110427,0,3,0
847,20110428,0,4,0
848,20110429,0,5,0
849,20110430,1,6,1
850,20110501,1,7,1
851,20110502,1,1,0
852,20110503,0,2,0
853,20110504,0,3,0
854,20110505,0,4,0
855,20110506,0,5,0
856,20110507,0,6,1
857,20110508,0,7,1
858,20110509,0,1,0
859,20110510,0,2,0
860,20110511,0,3,0
861,20110512,0,4,0
862,20110513,0,5,0
863,20110514,0,6,1
