,date,holiday,weekday,weekend
20090101,20090101,1,4,0
20090102,20090102,1,5,0
20090103,20090103,1,6,1
20090104,20090104,0,7,0
20090105,20090105,0,1,0
20090106,20090106,0,2,0
20090107,20090107,0,3,0
20090108,20090108,0,4,0
20090109,20090109,0,5,0
20090110,20090110,0,6,1
20090111,20090111,0,7,1
20090112,20090112,0,1,0
20090113,20090113,0,2,0
20090114,20090114,0,3,0
20090115,20090115,0,4,0
20090116,20090116,0,5,0
20090117,20090117,0,6,1
20090118,20090118,0,7,1
20090119,20090119,0,1,0
20090120,20090120,0,2,0
20090121,20090121,0,3,0
20090122,20090122,0,4,0
20090123,20090123,0,5,0
20090124,20090124,0,6,0
20090125,20090125,1,7,1
20090126,20090126,1,1,0
20090127,20090127,1,2,0
20090128,20090128,1,3,0
20090129,20090129,1,4,0
20090130,20090130,1,5,0
20090131,20090131,1,6,1
20090201,20090201,0,7,0
20090202,20090202,0,1,0
20090203,20090203,0,2,0
20090204,20090204,0,3,0
20090205,20090205,0,4,0
20090206,20090206,0,5,0
20090207,20090207,0,6,1
20090208,20090208,0,7,1
20090209,20090209,0,1,0
20090210,20090210,0,2,0
20090211,20090211,0,3,0
20090212,20090212,0,4,0
20090213,20090213,0,5,0
20090214,20090214,0,6,1
20090215,20090215,0,7,1
20090216,20090216,0,1,0
20090217,20090217,0,2,0
20090218,20090218,0,3,0
20090219,20090219,0,4,0
20090220,20090220,0,5,0
20090221,20090221,0,6,1
20090222,20090222,0,7,1
20090223,20090223,0,1,0
20090224,20090224,0,2,0
20090225,20090225,0,3,0
20090226,20090226,0,4,0
20090227,20090227,0,5,0
20090228,20090228,0,6,1
20090301,20090301,0,7,1
20090302,20090302,0,1,0
20090303,20090303,0,2,0
20090304,20090304,0,3,0
20090305,20090305,0,4,0
20090306,20090306,0,5,0
20090307,20090307,0,6,1
20090308,20090308,0,7,1
20090309,20090309,0,1,0
20090310,20090310,0,2,0
20090311,20090311,0,3,0
20090312,20090312,0,4,0
20090313,20090313,0,5,0
20090314,20090314,0,6,1
20090315,20090315,0,7,1
20090316,20090316,0,1,0
20090317,20090317,0,2,0
20090318,20090318,0,3,0
20090319,20090319,0,4,0
20090320,20090320,0,5,0
20090321,20090321,0,6,1
20090322,20090322,0,7,1
20090323,20090323,0,1,0
20090324,20090324,0,2,0
20090325,20090325,0,3,0
20090326,20090326,0,4,0
20090327,20090327,0,5,0
20090328,20090328,0,6,1
20090329,20090329,0,7,1
20090330,20090330,0,1,0
20090331,20090331,0,2,0
20090401,20090401,0,3,0
20090402,20090402,0,4,0
20090403,20090403,0,5,0
20090404,20090404,1,6,1
20090405,20090405,1,7,1
20090406,20090406,1,1,0
20090407,20090407,0,2,0
20090408,20090408,0,3,0
20090409,20090409,0,4,0
20090410,20090410,0,5,0
20090411,20090411,0,6,1
20090412,20090412,0,7,1
20090413,20090413,0,1,0
20090414,20090414,0,2,0
20090415,20090415,0,3,0
20090416,20090416,0,4,0
20090417,20090417,0,5,0
20090418,20090418,0,6,1
20090419,20090419,0,7,1
20090420,20090420,0,1,0
20090421,20090421,0,2,0
20090422,20090422,0,3,0
20090423,20090423,0,4,0
20090424,20090424,0,5,0
20090425,20090425,0,6,1
20090426,20090426,0,7,1
20090427,20090427,0,1,0
20090428,20090428,0,2,0
20090429,20090429,0,3,0
20090430,20090430,0,4,0
20090501,20090501,1,5,0
20090502,20090502,1,6,1
20090503,20090503,1,7,1
20090504,20090504,0,1,0
20090505,20090505,0,2,0
20090506,20090506,0,3,0
20090507,20090507,0,4,0
20090508,20090508,0,5,0
20090509,20090509,0,6,1
20090510,20090510,0,7,1
20090511,20090511,0,1,0
20090512,20090512,0,2,0
20090513,20090513,0,3,0
20090514,20090514,0,4,0
20090515,20090515,0,5,0
20090516,20090516,0,6,1
20090517,20090517,0,7,1
20090518,20090518,0,1,0
20090519,20090519,0,2,0
20090520,20090520,0,3,0
20090521,20090521,0,4,0
20090522,20090522,0,5,0
20090523,20090523,0,6,1
20090524,20090524,0,7,1
20090525,20090525,0,1,0
20090526,20090526,0,2,0
20090527,20090527,0,3,0
20090528,20090528,1,4,0
20090529,20090529,1,5,0
20090530,20090530,1,6,1
20090531,20090531,0,7,0
